date,selection,odds,prob,ev,stake,result,gross_pnl,commission,net_pnl,bankroll
2023-04-16,A,1.56,0.657,0.026,23.23,LOSS,-23.23,0.0,-23.23,964.76
2023-04-21,D,7.03,0.178,0.249,19.94,WIN,117.9,2.41,117.9,1082.66
2023-04-22,D,7.44,0.199,0.482,40.49,LOSS,-40.49,0.0,-40.49,1042.17
2023-04-22,H,2.36,0.498,0.177,52.11,WIN,69.62,1.42,69.62,1111.79
2023-04-23,H,2.84,0.397,0.125,37.87,LOSS,-37.87,0.0,-37.87,1073.92
2023-04-25,A,3.06,0.387,0.187,48.54,LOSS,-48.54,0.0,-48.54,1025.38
2023-04-25,D,3.51,0.332,0.165,33.63,WIN,82.76,1.69,82.76,1108.14
2023-04-26,H,6.08,0.26,0.583,55.41,WIN,275.85,5.63,275.85,1383.99
2023-04-26,A,1.88,0.571,0.075,58.67,WIN,50.67,1.03,50.67,1434.66
2023-04-27,A,3.17,0.384,0.22,71.73,WIN,152.68,3.12,152.68,1587.33
2023-04-27,A,2.42,0.504,0.218,79.37,LOSS,-79.37,0.0,-79.37,1507.97
2023-04-29,A,5.44,0.204,0.111,18.94,LOSS,-18.94,0.0,-18.94,1489.02
2023-04-29,A,6.69,0.162,0.082,10.74,LOSS,-10.74,0.0,-10.74,1478.29
2023-04-30,A,9.85,0.144,0.416,34.79,LOSS,-34.79,0.0,-34.79,1443.5
2023-04-30,D,4.62,0.29,0.338,67.48,LOSS,-67.48,0.0,-67.48,1376.02
2023-05-01,D,3.41,0.336,0.147,41.92,WIN,99.18,2.02,99.18,1475.21
2023-05-02,A,5.7,0.271,0.545,73.76,LOSS,-73.76,0.0,-73.76,1401.44
2023-05-03,D,7.09,0.193,0.369,42.44,LOSS,-42.44,0.0,-42.44,1359.0
2023-05-03,D,6.12,0.212,0.301,39.86,LOSS,-39.86,0.0,-39.86,1319.14
2023-05-06,D,4.85,0.243,0.18,30.86,LOSS,-30.86,0.0,-30.86,1288.28
2023-05-06,A,4.23,0.263,0.114,22.75,LOSS,-22.75,0.0,-22.75,1265.53
2023-05-07,A,2.07,0.658,0.361,63.28,LOSS,-63.28,0.0,-63.28,1202.25
2023-05-07,D,3.66,0.328,0.2,45.34,LOSS,-45.34,0.0,-45.34,1156.91
2023-05-08,A,8.53,0.149,0.268,20.58,WIN,151.84,3.1,151.84,1308.75
2023-05-13,D,4.36,0.356,0.554,65.44,WIN,215.53,4.4,215.53,1524.27
2023-05-13,A,2.5,0.521,0.304,76.21,WIN,112.15,2.29,112.15,1636.43
2023-05-14,H,8.92,0.154,0.369,38.12,LOSS,-38.12,0.0,-38.12,1598.3
2023-05-14,D,4.11,0.301,0.236,60.85,LOSS,-60.85,0.0,-60.85,1537.46
2023-05-15,A,1.58,0.651,0.029,38.83,WIN,22.16,0.45,22.16,1559.62
2023-05-18,D,3.76,0.413,0.554,77.98,LOSS,-77.98,0.0,-77.98,1481.64
2023-05-20,D,3.79,0.349,0.324,74.08,LOSS,-74.08,0.0,-74.08,1407.55
2023-05-20,H,2.42,0.485,0.175,70.38,LOSS,-70.38,0.0,-70.38,1337.18
2023-05-21,D,6.68,0.19,0.267,31.36,LOSS,-31.36,0.0,-31.36,1305.81
2023-05-21,D,3.49,0.32,0.119,31.02,LOSS,-31.02,0.0,-31.02,1274.79
2023-05-22,A,7.61,0.151,0.148,14.28,LOSS,-14.28,0.0,-14.28,1260.51
2023-05-24,A,1.79,0.625,0.119,63.03,LOSS,-63.03,0.0,-63.03,1197.49
2023-05-25,D,4.18,0.256,0.068,12.78,LOSS,-12.78,0.0,-12.78,1184.71
2023-05-28,A,6.79,0.254,0.723,59.24,LOSS,-59.24,0.0,-59.24,1125.47
2023-05-28,A,3.62,0.353,0.279,56.27,LOSS,-56.27,0.0,-56.27,1069.2
2023-08-11,H,8.54,0.13,0.107,7.6,LOSS,-7.6,0.0,-7.6,1061.6
2023-08-12,H,3.06,0.425,0.3,53.08,LOSS,-53.08,0.0,-53.08,1008.52
2023-08-12,A,3.27,0.339,0.107,23.69,WIN,52.63,1.07,52.63,1061.15
2023-08-13,D,3.58,0.347,0.24,49.48,WIN,124.89,2.55,124.89,1186.04
