odds_home,odds_draw,odds_away,implied_home,implied_draw,implied_away,no_vig_home,no_vig_draw,no_vig_away,market_overround,line_dispersion_home,line_dispersion_draw,line_dispersion_away,book_count,elo_home,elo_away,elo_diff,form_pts_home_l5,form_pts_away_l5,form_gf_home_l5,form_gf_away_l5,form_ga_home_l5,form_ga_away_l5,rest_days_home,rest_days_away,league,home_team,away_team,label,kickoff_time
1.41,4.93,8.04,0.7092198581560284,0.20283975659229211,0.12437810945273634,0.6842860324316484,0.19570858128369664,0.12000538628465478,1.036437724201057,0.02345207879911717,0.12173228823939866,0.5013668816345966,4.0,1514.6788345118366,1448.2271350538217,66.4516994580149,0.6,0.8,1.6,1.6,1.4,2.4,8.0,9.0,ligue1,Rennes,Bordeaux,0,2022-01-16
2.75,3.7,2.5,0.36363636363636365,0.27027027027027023,0.4,0.3517110266159696,0.26140684410646386,0.3868821292775666,1.0339066339066338,0.06873863542433757,0.11434596626029267,0.04145780987944252,4.0,1444.3714955785747,1491.806094686684,-47.434599108109296,0.4,1.0,1.2,1.6,2.4,2.6,7.0,7.0,seriea,Venezia,Empoli,1,2022-01-16
2.3,3.51,3.19,0.4347826086956522,0.2849002849002849,0.31347962382445144,0.42082692835317154,0.27575553709751977,0.3034175345493086,1.0331625174203887,0.05500000000000012,0.07826237921249261,0.06873863542433752,4.0,1553.5127480561302,1523.7781605101593,29.734587545970953,2.0,2.2,1.2,1.6,0.6,1.0,9.0,25.0,ligue1,Marseille,Lille,1,2022-01-16
4.93,4.09,1.7,0.20283975659229211,0.24449877750611249,0.5882352941176471,0.1958718452181409,0.23609980364925054,0.5680283511326086,1.0355738282160516,0.24662724910277045,0.0801560977094071,0.05629165124598856,4.0,1448.5781884763157,1507.6589432824449,-59.08075480612911,0.8,0.8,1.0,1.0,1.2,1.2,25.0,7.0,ligue1,Troyes,Lyon,2,2022-01-16
2.44,3.21,3.21,0.4098360655737705,0.3115264797507788,0.3115264797507788,0.3967861557478368,0.30160692212608153,0.30160692212608153,1.0328890250753282,0.048669805834829445,0.08215838362577486,0.07228416147400475,4.0,1444.9997967996064,1494.188344759952,-49.18854796034566,0.2,0.8,0.4,1.2,2.0,2.2,25.0,25.0,ligue1,Lorient,Angers,1,2022-01-16
1.3,5.82,10.45,0.7692307692307692,0.1718213058419244,0.09569377990430622,0.7419665731365133,0.16573136513358544,0.09230206172990119,1.036745854977,0.012990381056766592,0.20104414938017964,1.1651260661404843,4.0,1582.6524437185428,1470.9220180422217,111.73042567632115,1.6,1.2,1.6,1.0,1.2,1.8,14.0,5.0,epl,Liverpool,Brentford,0,2022-01-16
1.65,4.28,5.13,0.6060606060606061,0.2336448598130841,0.19493177387914232,0.5857711116269019,0.22582297527672618,0.18840591309637195,1.0346372397528325,0.03191786333700921,0.09601432184835773,0.20873128658636675,4.0,1540.7253061674066,1467.1421028926125,73.58320327479419,1.8,0.8,2.2,1.6,1.6,3.4,4.0,14.0,epl,West Ham,Leeds,2,2022-01-16
1.75,3.71,5.1,0.5714285714285714,0.2695417789757412,0.19607843137254904,0.5510141677708694,0.25991234328814594,0.18907348894098464,1.0370487817768617,0.03640054944640263,0.10985786271359908,0.14236836024903834,4.0,1496.5706890476715,1447.071147358936,49.49954168873546,1.6,0.8,1.2,1.2,0.8,2.2,7.0,7.0,ligue1,Reims,Metz,2,2022-01-16
2.07,3.45,3.82,0.48309178743961356,0.2898550724637681,0.2617801047120419,0.4668785138108042,0.2801271082864825,0.2529943779027133,1.0347269646154236,0.046097722286464395,0.13982131454109548,0.13955285736952855,4.0,1517.9275131864047,1529.894053649469,-11.966540463064348,2.0,2.4,2.2,2.4,1.0,0.6,7.0,25.0,ligue1,Strasbourg,Montpellier,0,2022-01-16
4.95,3.79,1.75,0.20202020202020202,0.2638522427440633,0.5714285714285714,0.1947556195034576,0.2543641996153338,0.5508801808812086,1.0373010161928367,0.22034064536530698,0.10894379284750456,0.02915475947422653,4.0,1467.3986327720122,1512.9816022633788,-45.58296949136661,1.4,2.6,1.6,3.4,1.4,1.0,6.0,7.0,laliga,Elche,Villarreal,0,2022-01-16
